#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 13:22:08:8950,IMU,-81,ay,acceleration,NXSCK
2021-09-14 13:22:08:8950,IMU,57,az,acceleration,NXSCK
2021-09-14 13:22:09:0020,IMU,365,gx,gyration,NXSCK
2021-09-14 13:22:09:0020,IMU,-362,gy,gyration,NXSCK
2021-09-14 13:22:09:0020,IMU,43,gz,gyration,NXSCK
2021-09-14 13:22:09:0940,sensor,54,a0,adc,NXSCK
2021-09-14 13:22:09:0940,sensor,139,a1,adc,NXSCK
2021-09-14 13:22:09:0940,sensor,728,a2,adc,NXSCK
2021-09-14 13:22:09:1840,IMU,1053,ax,acceleration,NXSCK
2021-09-14 13:22:09:1840,IMU,-266,ay,acceleration,NXSCK
2021-09-14 13:22:09:1840,IMU,-449,az,acceleration,NXSCK
2021-09-14 13:22:09:2430,IMU,-112,gx,gyration,NXSCK
2021-09-14 13:22:09:2430,IMU,500,gy,gyration,NXSCK
2021-09-14 13:22:09:2430,IMU,158,gz,gyration,NXSCK
2021-09-14 13:22:09:3040,IMU,-53,mx,magnet,NXSCK
2021-09-14 13:22:09:3040,IMU,101,my,magnet,NXSCK
2021-09-14 13:22:09:3040,IMU,87,mz,magnet,NXSCK
2021-09-14 13:22:09:3640,sensor,38,a0,adc,NXSCK
2021-09-14 13:22:09:3640,sensor,60,a1,adc,NXSCK
2021-09-14 13:22:09:3640,sensor,470,a2,adc,NXSCK
2021-09-14 13:22:09:4230,IMU,748,ax,acceleration,NXSCK
2021-09-14 13:22:09:4230,IMU,185,ay,acceleration,NXSCK
2021-09-14 13:22:09:4230,IMU,217,az,acceleration,NXSCK
2021-09-14 13:22:09:4840,IMU,-150,gx,gyration,NXSCK
2021-09-14 13:22:09:4840,IMU,-500,gy,gyration,NXSCK
2021-09-14 13:22:09:4840,IMU,-65,gz,gyration,NXSCK
2021-09-14 13:22:09:5440,IMU,-82,mx,magnet,NXSCK
2021-09-14 13:22:09:5440,IMU,95,my,magnet,NXSCK
2021-09-14 13:22:09:5440,IMU,31,mz,magnet,NXSCK
2021-09-14 13:22:09:6340,sensor,86,a0,adc,NXSCK
2021-09-14 13:22:09:6340,sensor,137,a1,adc,NXSCK
2021-09-14 13:22:09:6340,sensor,522,a2,adc,NXSCK
2021-09-14 13:22:09:6940,IMU,905,ax,acceleration,NXSCK
2021-09-14 13:22:09:6940,IMU,17,ay,acceleration,NXSCK
2021-09-14 13:22:09:6940,IMU,27,az,acceleration,NXSCK
2021-09-14 13:22:09:8450,IMU,-222,gx,gyration,NXSCK
